GEOID10,Latitude,Longitude,D_d,SE_T002_002,PCT_SE_T02A_002,PCT_SE_T011_002,PCT_SE_T011_005,PCT_SE_T054_003,PCT_SE_T058_006,PCT_SE_T058_008,SE_T064_001,SE_T068_001,PCT_SE_T070_002,PCT_SE_T025_002,PCT_SE_T113_002,SE_T059_001,SE_T068_001.1,PCT_SE_T080_002,Unemploy,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13
26049012501,43.1737904,-83.6043506,0.00099771,113.7433,99.46,21.15,12.54,1.52,8.22,20.8,2.6,828,94.08,7,11.3,59128,44582700,2.39,45.53734062,26049012503,26049012100,26049011901,26049012401,26049012504,26157001300,0,0,0,0,0,0,0
26049012503,43.1568106,-83.6687953,0.000455215,344.376,99.94,20.25,12.51,2.73,12.88,23.86,2.51,1402,83.1,16.69,9.41,46017,56371600,3.84,54.00221321,26049010504,26049010115,0,26049012201,26049012100,26049012501,26049010113,26049010112,26049012504,0,0,0,0
26049012504,43.2001782,-83.6652375,0.000811155,255.3124,99.88,22.61,10.9,1.73,9.37,14.33,2.85,764,95.03,16.06,3.75,72303,51479900,0.14,41.43681847,26049010112,26049010113,26049012503,26049012501,26157001300,0,0,0,0,0,0,0,0
26049012601,43.1989511,-83.8776596,0.001319419,174.2006,98.82,25.94,12.1,0.93,13.83,17.85,2.8,1182,90.52,15.59,14.59,59923,57526200,7.6,46.36326696,26049012603,26145012900,26049012602,26049010202,26049010201,26145013000,26145013100,0,0,0,0,0,0
26049012602,43.1763452,-83.8931853,0.00066728,1696.587,100,27.22,12.91,0.72,17.81,31.44,2.46,726,92.01,10.9,11.14,43614,28785400,3.33,49.96320824,26049012601,26049012603,0,0,0,0,0,0,0,0,0,0,0
26049012603,43.1546389,-83.8686034,0.001568346,189.4724,98.9,23.2,15.17,2.41,9.03,16.53,2.78,1203,93.02,20.21,3.78,70608,68137300,0,56.28332064,26155030100,26145012900,26049010700,26049010610,26049010503,26049010202,26049012601,26049012602,26049010201,0,0,0,0
26049012702,42.9630315,-83.8250485,0.000687149,1405.086,99.95,22.64,20.12,5.07,16.95,31.94,2.25,2750,92.91,7.14,10.06,54649,140230700,1.21,48.41859478,26049012802,26049012801,26049012703,26049012904,26049010912,26049012704,0,0,0,0,0,0,0
26049012703,42.9939953,-83.901062,0.000989574,154.1927,99.79,22.22,15.71,1.29,10.22,21.54,2.61,1381,92.11,10.65,9.74,65453,77235100,3.14,50.41742287,26049012801,26155030100,26049012702,26049012704,26049010700,0,0,0,0,0,0,0,0
26049012704,43.0079078,-83.8474304,0.001014016,339.7074,99.93,23.53,16.29,4.73,7.45,20.01,2.61,1715,94.69,5.87,3.15,84286,131234700,2.89,42.97450425,26049012702,26049012703,26049010912,26049010813,26049010810,26049010700,26049010502,0,0,0,0,0,0
26049012801,42.9062377,-83.8955773,0.000758321,206.7087,99.44,24.76,12.38,0.9,6.94,17.33,2.74,1842,94.63,8.51,2.03,68331,114044500,1.86,49.12783129,26155031800,26155031301,26049013001,26049012802,26155031900,26049012702,26155030100,26049012703,0,0,0,0,0
26049012802,42.9069337,-83.8261741,0.000760988,170.3781,99.94,23.25,15.06,0.74,8.56,18.18,2.67,792,95.83,12.09,4.88,65657,46419800,1.27,51.77222545,26049012907,26049013001,26049012801,26049012904,26049012702,26049010912,0,0,0,0,0,0,0
26049012904,42.9353003,-83.7643815,0.001034554,513.3012,99.89,20.75,16.16,3.05,10.03,22.69,2.48,2755,95.17,4.06,3.47,66226,178082100,0.56,46.47482014,26049012907,26049012802,26049012906,26049012905,26049012702,26049010912,26049980000,26049011010,0,0,0,0,0
